12_Months,24_Months,36_Months,48_Months,60_Months
IXN,0.349233841694523,1.84258051312672,2.18197904986595,2.0292158104287,2.16376048410186
QQQ,0.449648401074108,1.95473255065064,2.16995411914334,2.05455268892793,2.12254840251482
IEF,-0.889966023827924,-0.0677535495213519,0.642771733011659,0.412707546733328,0.268475614438591
VNQ,0.658354103683818,1.20090043093684,1.3867680084217,1.28138284066417,1.13489765794419
GLD,1.14656202372266,2.01189381550785,2.07812663309852,1.70783554301403,1.48383567674508
portfolio,-0.0891669748475604,1.33470009060608,1.66811274284939,1.52482996119235,1.57904151589092
