Tickers,12_Months,24_Months,36_Months,48_Months,60_Months
IXN,-0.135563660446441,0.241180586455711,0.62107309535906,0.715023937591082,1.06797877467645
QQQ,-0.16015759860977,0.239613535451974,0.562324642750979,0.692745147562839,0.977162271414948
IEF,-0.0904610168142595,-0.0653114412087999,0.0555762692539638,0.018569916438702,-0.0168438176866523
VNQ,-0.047127998517505,0.0276340004753229,0.29113901316457,0.323860732604627,0.280162779381901
GLD,0.0388187365728316,0.194888937425034,0.386278919296637,0.335564044302339,0.306264423877122
portfolio,-0.117915468931779,0.145966149250923,0.596758647627875,0.648934075082513,0.717834350652016
