Ticker,12_Months,24_Months,36_Months,48_Months,60_Months
IXN,0.132314275215237,0.140256710537568,0.138108124290995,0.129411969913679,0.11997893081632
QQQ,0.173203051768249,0.150264637244335,0.144017426030591,0.131272663817562,0.120432067989236
IEF,0.128591175771815,0.230100293147263,0.200392881503062,0.180259355902282,0.163128594102901
VNQ,0.129213726544573,0.188153850137364,0.163812883585775,0.152062158854634,0.14287757638303
GLD,0.184030826478649,0.235021932585162,0.21420131747429,0.197369016748338,0.186111021527857
portfolio,0.0532973931699067,0.0801923781909053,0.0689806747883643,0.0631629521981133,0.0634512416619383
