Tickers,12_Months,24_Months,36_Months,48_Months,60_Months
IXN,-0.135563330090027,0.241180610817966,0.621072668152042,0.715023320579178,1.06797937977802
QQQ,-0.16015751515525,0.239613575385943,0.562325319515535,0.69274630500512,0.97716294265616
IEF,-0.0904611708706714,-0.0653127921231926,0.0555744294307214,0.0185674957576951,-0.0168457666048489
VNQ,-0.0471281628304338,0.0276343868002541,0.291139638992938,0.323862065042926,0.280164132546495
GLD,0.0388187365728316,0.194888937425034,0.386278919296637,0.335564044302339,0.306264423877122
portfolio,-0.103573226312495,0.12516138929093,0.382218645459678,0.427123144924948,0.570952405531025
